,username,message,timestamp
82,waysotheraccount ,@everyone look at those sava calls for a bounce, 2023-10-13T14:00:26.886000+00:00
83,Sir Goldman Alerts ,COMMENT, 2024-04-10T16:58:28.271000+00:00
84,Sir Goldman Alerts ,ENTRY, 2024-01-22T18:03:32.586000+00:00
85,Sir Goldman Alerts ,SCALE, 2023-12-01T18:18:31.929000+00:00
86,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2024-03-25T15:46:44.207000+00:00
87,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-02-23T14:45:55.837000+00:00
88,Optionsking Alert Bot ,Charts, 2023-09-25T15:20:27.706000+00:00
89,Waxui Alerts 🍭 ,Trail stops @B/E, 2023-12-08T15:56:57.028000+00:00
90,Optionsking Alert Bot ,Update, 2023-10-13T17:40:12.989000+00:00
91,Bullish B Signals ,Set role to mention, 2023-11-07T14:59:12.381000+00:00
92,Sir Goldman Alerts ,COMMENT, 2023-12-07T16:28:41.173000+00:00
93,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-03-01T15:16:34.048000+00:00
94,waysotheraccount ,Let's see of these prices hold up first, 2023-07-20T22:05:51.744000+00:00
95,KC Trades Bot ,scaled MSFT 290 💰💰, 2024-03-18T13:41:36.616000+00:00
96,Sir Goldman Alerts ,ENTRY, 2024-02-13T19:04:05.475000+00:00
97,Optionsking Alert Bot ,Charts, 2023-09-27T16:20:55.557000+00:00
98,Sir Goldman Alerts ,COMMENT, 2024-02-13T20:50:24.626000+00:00
99,Sir Goldman Alerts ,ENTRY, 2024-03-18T17:23:31.321000+00:00
100,Sir Goldman Alerts ,COMMENT, 2024-03-04T17:37:09.774000+00:00
101,Optionsking Alert Bot ,Update, 2023-08-17T16:46:32.353000+00:00
102,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-11-30T20:23:34.047000+00:00
103,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-12-19T15:55:08.562000+00:00
104,Sir Goldman Alerts ,COMMENT, 2023-09-26T19:38:53.234000+00:00
105,waysotheraccount ,@everyone omg amd 120c from 13 to 120+ another 1000 percent gainer, 2023-07-14T13:59:06.951000+00:00
106,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-10-30T17:32:35.418000+00:00
107,Waxui Alerts 🍭 ,Trim SPX here320 - 400 ✅ 25%Holding most, 2024-04-05T17:43:02.399000+00:00
108,Sir Goldman Alerts ,COMMENT, 2023-12-19T15:31:05.552000+00:00
109,Bullish B Signals ,DUMP IT NFLX, 2024-01-12T19:22:40.617000+00:00
110,Sir Goldman Alerts ,COMMENT, 2024-01-26T18:41:11.576000+00:00
111,Optionsking Alert Bot ,Update, 2023-08-22T15:29:31.153000+00:00
112,Sir Goldman Alerts ,COMMENT, 2023-12-23T19:53:59.578000+00:00
113,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-08-28T13:31:02.768000+00:00
114,Waxui Alerts 🍭 ,Trim SPY here100 - 115 ✅ 15%Holding most, 2023-05-30T13:36:14.862000+00:00
115,Bullish B Signals ,Looking for a re-test of 21 ema then we can grab $COIN PUTS, 2024-01-10T16:31:28.279000+00:00
116,Sir Goldman Alerts ,ENTRY, 2023-12-05T16:17:41.031000+00:00
117,Sir Goldman Alerts ,ENTRY, 2023-12-08T17:29:10.234000+00:00
118,waysotheraccount ,@everyone fcx up 20 percent from 126 to 154 can put a stop, 2023-08-03T16:06:47.219000+00:00
119,Optionsking Alert Bot ,Update, 2023-11-02T15:55:33.604000+00:00
120,Sir Goldman Alerts ,ENTRY, 2024-03-22T17:42:20.163000+00:00
121,Waxui Alerts 🍭 ,Trail stops set @B/E, 2023-10-19T18:01:22.555000+00:00
122,Sir Goldman Alerts ,COMMENT, 2024-04-11T21:15:33.589000+00:00
123,Sir Goldman Alerts ,COMMENT, 2024-03-27T15:47:38.361000+00:00
124,waysotheraccount ,@everyone taking some amd 98c in the morning, 2023-09-22T13:28:14.851000+00:00
125,waysotheraccount ,@everyone safer for 0ct 20 though, 2023-09-01T15:22:51.441000+00:00
126,waysotheraccount ,@everyone wow tup exploded those calls are up 3000 to 5000 tomorrow, 2023-08-03T22:58:34.501000+00:00
127,Optionsking Alert Bot ,Charts, 2023-09-26T14:16:44.540000+00:00
128,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-12-06T19:57:11.009000+00:00
129,Sir Goldman Alerts ,ENTRY, 2023-11-09T16:46:51.982000+00:00
130,Optionsking Alert Bot ,Charts, 2023-09-22T13:18:44.459000+00:00
131,Sir Goldman Alerts ,EXIT, 2024-03-13T19:17:48.740000+00:00
132,Optionsking Alert Bot ,Charts, 2023-09-19T15:32:24.496000+00:00
133,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-01-04T15:10:19.239000+00:00
134,Sir Goldman Alerts ,COMMENT, 2023-11-22T20:10:15.938000+00:00
135,Sir Goldman Alerts ,ENTRY, 2023-12-29T17:02:10.444000+00:00
136,Prodigy ,Im looking for more plays team, 2024-04-12T14:40:50.922000+00:00
137,Optionsking Alert Bot ,Update, 2023-08-28T18:21:51.736000+00:00
138,Waxui Alerts 🍭 ,Watching COIN calls off open, 2023-12-28T22:03:47.625000+00:00
139,Bullish B Signals ,LETS CATCH A QUICK BANGER WATCHING $COST CALLS, 2024-01-12T18:27:36.076000+00:00
140,Waxui Alerts 🍭 ,Reduced risk @500, 2024-03-27T14:27:34.480000+00:00
141,Sir Goldman Alerts ,COMMENT, 2024-01-08T17:39:32.439000+00:00
142,Market Bishop ,I'm entering, 2024-03-28T18:08:38.589000+00:00
143,Optionsking Alert Bot ,Charts, 2023-08-30T16:08:18.161000+00:00
144,Waxui Alerts 🍭 ,Added to SPX @260New Avg is 310, 2024-03-06T15:17:36.709000+00:00
145,Optionsking Alert Bot ,Close, 2023-08-14T16:30:46.634000+00:00
146,Sir Goldman Alerts ,ENTRY, 2023-11-08T17:39:53.070000+00:00
147,waysotheraccount ,@everyone took some GAQ at 1250, 2023-07-17T12:09:04.803000+00:00
148,Optionsking Alert Bot ,Update, 2023-10-24T15:11:01.435000+00:00
149,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-08-18T16:48:45.251000+00:00
150,kavi1127 ,Dwac 100 shares entery price 1845, 2023-07-21T13:57:12.448000+00:00
151,Sir Goldman Alerts ,SCALE, 2023-12-20T18:46:55.334000+00:00
152,Optionsking Alert Bot ,Charts, 2023-08-20T22:31:27.450000+00:00
153,Sir Goldman Alerts ,EXIT, 2024-04-05T16:50:05.013000+00:00
154,Sir Goldman Alerts ,COMMENT, 2023-12-01T20:11:03.288000+00:00
155,Waxui Alerts 🍭 ,Reduced risk on SPY here @120, 2023-06-23T15:33:02.354000+00:00
156,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-09-05T14:14:23.276000+00:00
157,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-08-25T18:46:59.776000+00:00
158,Sir Goldman Alerts ,COMMENT, 2023-12-14T23:41:54.583000+00:00
159,Optionsking Alert Bot ,Update, 2023-08-25T17:52:22.065000+00:00
160,Sir Goldman Alerts ,COMMENT, 2023-11-09T20:28:07.174000+00:00
161,Sir Goldman Alerts ,COMMENT, 2023-10-19T16:37:41.363000+00:00
162,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2024-02-23T17:44:14.782000+00:00
163,Optionsking Alert Bot ,Update, 2023-10-30T17:20:08.162000+00:00
164,Sir Goldman Alerts ,COMMENT, 2024-02-22T15:39:39.051000+00:00
165,Optionsking Alert Bot ,Trim, 2023-09-07T18:04:34.536000+00:00
166,rumrunner3050 ,You mean for 0dte option plays, 2024-01-06T18:24:50.158000+00:00
167,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-08-28T19:49:43.562000+00:00
168,Waxui Alerts 🍭 ,Added to SPX here @120New Avg is 180, 2023-07-27T15:31:53.251000+00:00
169,Bullish B Signals ,$QQQ #QQQ 2nd rejection off 38741-39111 supply zone, 2023-11-16T20:14:02.019000+00:00
170,Waxui Alerts 🍭 ,LOTTOSPX here06/14 4340PAvg 500, 2023-06-14T18:01:05.083000+00:00
171,waysotheraccount ,@everyone tsla 280c are almost 200 percent $$$, 2023-09-11T15:21:08.989000+00:00
172,Sir Goldman Alerts ,COMMENT, 2024-03-04T17:46:02.152000+00:00
173,Sir Goldman Alerts ,COMMENT, 2024-02-20T00:14:21.048000+00:00
174,Sir Goldman Alerts ,COMMENT, 2023-12-13T20:30:38.724000+00:00
175,Sir Goldman Alerts ,COMMENT, 2023-10-19T15:04:13.761000+00:00
176,Sir Goldman Alerts ,COMMENT, 2024-03-04T20:30:13.863000+00:00
177,waysotheraccount ,@everyone nice 150 percent, 2023-07-12T14:16:20.043000+00:00
178,Owen's Alerts ,Out full $BAC at $098 per contract 29% gainer 🔥, 2024-02-12T15:53:02.639000+00:00
179,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2024-04-04T18:31:10.205000+00:00
180,Waxui Alerts 🍭 ,HIGH RISKSPX here08/02 4525PAvg 300, 2023-08-02T13:46:18.259000+00:00
181,Sir Goldman Alerts ,COMMENT, 2024-02-20T19:45:05.043000+00:00
182,Waxui Alerts 🍭 ,*High Risk*SPX here 01/30 4935CAvg 200, 2024-01-30T16:14:34.596000+00:00
183,Bullish B Signals ,BEEN Killin these swing trades, 2023-11-15T18:52:38.344000+00:00
184,Bullish B Signals ,SNIPER entry +8% already and running 🚀, 2024-01-09T16:16:55.242000+00:00
185,Sir Goldman Alerts ,COMMENT, 2024-02-16T15:11:32.998000+00:00
186,waysotheraccount ,Or hedge with some puts, 2023-07-25T19:42:59.174000+00:00
187,waysotheraccount ,@everyone spy nice bounce from last week, 2023-10-16T15:03:39.529000+00:00
188,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-08-11T19:52:45.240000+00:00
189,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-11-06T15:39:50.782000+00:00
190,Sir Goldman Alerts ,COMMENT, 2023-12-06T17:08:43.720000+00:00
191,Sir Goldman Alerts ,EXIT, 2023-12-21T15:10:24.360000+00:00
192,Optionsking Alert Bot ,Charts, 2023-10-03T18:51:32.599000+00:00
193,Optionsking Alert Bot ,Update, 2023-08-25T20:06:07.367000+00:00
194,waysotheraccount ,@everyone cvna 40c 18 to 29 nice gain for 60 percent, 2023-07-14T16:42:03.622000+00:00
195,Market Bishop ,Bishop's Ideas, 2024-03-28T18:29:31.425000+00:00
196,Optionsking Alert Bot ,Update, 2023-10-25T14:45:29.284000+00:00
197,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-08-23T14:10:02.468000+00:00
198,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-12-04T14:49:19.485000+00:00
199,Sir Goldman Alerts ,SCALE, 2023-11-09T15:01:33.791000+00:00
200,Waxui Alerts 🍭 ,Focused on ARM off the open, 2024-02-08T14:26:20.653000+00:00
201,waysotheraccount ,@everyone fact who got in at 970s like I said $$$, 2023-07-17T18:03:34.369000+00:00
202,Market Bishop ,Trimming BABA 74 P 4/12 @$031, 2024-04-11T15:30:24.550000+00:00
203,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-01-09T15:02:20.041000+00:00
204,waysotheraccount ,@everyone hkd can run hard  Told you to load a lot under 7, 2023-07-14T12:36:15.400000+00:00
205,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-08-10T18:58:12.097000+00:00
206,Sir Goldman Alerts ,EXIT, 2024-03-19T18:57:41.177000+00:00
207,Sir Goldman Alerts ,COMMENT, 2024-02-15T21:05:52.037000+00:00
208,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-03-18T14:24:23.851000+00:00
209,Waxui Alerts 🍭 ,Closed SPX here, 2023-08-09T14:30:34.765000+00:00
210,Optionsking Alert Bot ,Update, 2023-08-25T19:44:46.318000+00:00
211,waysotheraccount ,@everyone ncnc could fill that gap up, 2023-08-30T22:00:59.143000+00:00
212,Market Bishop ,Bishop's Ideas, 2024-04-12T08:09:10.136000+00:00
213,Sir Goldman Alerts ,COMMENT, 2024-02-28T17:50:09.926000+00:00
214,Sir Goldman Alerts ,ENTRY, 2024-04-04T17:32:58.893000+00:00
215,Sir Goldman Alerts ,SCALE, 2023-11-13T17:51:31.244000+00:00
216,Optionsking Alert Bot ,Update, 2023-10-24T16:21:41.928000+00:00
217,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-12-13T14:52:24.433000+00:00
218,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-04-10T14:41:31.325000+00:00
219,Optionsking Alert Bot ,Update, 2023-09-07T13:31:54.414000+00:00
220,waysotheraccount ,@everyone hopefully it stays up I'll revisit at open, 2024-02-27T21:51:33.447000+00:00
221,optionsdr ,, 2023-06-20T21:27:39.153000+00:00
222,Waxui Alerts 🍭 ,, 2023-06-27T21:08:56.971000+00:00
223,Market Bishop ,I'm entering, 2024-04-04T15:07:16.685000+00:00
224,waysotheraccount ,@everyone aal is an er play so swinging that one, 2023-07-13T13:37:47.918000+00:00
225,Optionsking Alert Bot ,Update, 2023-10-24T15:46:56.764000+00:00
226,Sir Goldman Alerts ,COMMENT, 2024-01-18T19:45:44.270000+00:00
227,Waxui Alerts 🍭 ,LOTTOSPX here12/08 4605CAvg 340, 2023-12-08T15:35:40.777000+00:00
228,Market Bishop ,Trimming TSLA 17750 C 3/28 @$044, 2024-03-28T15:41:24.309000+00:00
229,Sir Goldman Alerts ,ENTRY, 2024-04-02T17:17:45.183000+00:00
230,Sir Goldman Alerts ,COMMENT, 2024-04-03T14:44:31.881000+00:00
231,Waxui Alerts 🍭 ,Off to gym be back when cons at 100%+, 2024-01-16T16:38:43.017000+00:00
232,waysotheraccount ,@everyone rum slowly climbing day by day Above 9 it can run, 2023-08-01T15:07:00.387000+00:00
233,KC Trades Bot ,scaled 170 💰, 2024-04-08T14:05:23.335000+00:00
234,waysotheraccount ,@everyone psqh over 30 can go massive, 2023-07-20T17:28:38.301000+00:00
235,KC Trades Bot ,MSFT calls are green now as well ✅, 2024-04-02T17:07:21.062000+00:00
236,Optionsking Alert Bot ,Update, 2023-09-06T19:18:36.103000+00:00
237,Bullish B Signals ,$PYPL 4D chart, 2024-01-25T19:09:18.962000+00:00
238,Optionsking Alert Bot ,Update, 2023-09-19T17:54:12.724000+00:00
239,kavi1127 ,Ulta  ELF bCk in Lulu dip  etsy spy 468 call dec 20, 2023-12-13T19:39:02.736000+00:00
240,Sir Goldman Alerts ,COMMENT, 2024-01-12T16:29:38.385000+00:00
241,Waxui Alerts 🍭 ,LOTTOAMD here12/22 140CAvg 110, 2023-12-22T14:31:38.538000+00:00
242,jmosh5249 ,Can I sign up ?, 2023-07-20T20:30:22.838000+00:00
243,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-10-09T16:16:14.552000+00:00
244,Optionsking Alert Bot ,Update, 2023-10-27T18:10:55.277000+00:00
245,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-04-11T13:53:47.597000+00:00
246,Sir Goldman Alerts ,ENTRY, 2023-10-20T17:07:28.849000+00:00
247,Bullish B Signals ,SL set to breakeven WHAT AN ENTRY, 2024-01-12T20:32:23.283000+00:00
248,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-03-18T16:29:46.090000+00:00
249,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-02-15T14:22:23.716000+00:00
250,Sir Goldman Alerts ,EXIT, 2023-11-27T17:18:43.090000+00:00
251,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-09-01T14:45:00.962000+00:00
252,Sir Goldman Alerts ,COMMENT, 2023-10-25T16:16:45.207000+00:00
253,Market Bishop ,Trimming NVDA 860 P 4/5 @$190, 2024-04-04T18:23:29.299000+00:00
254,Sir Goldman Alerts ,COMMENT, 2024-02-05T20:04:24.039000+00:00
255,Market Bishop ,Bishop's Ideas, 2024-03-22T14:54:40.115000+00:00
256,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-03-28T13:42:39.387000+00:00
257,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-11-29T15:54:29.693000+00:00
258,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-09-06T13:35:52.051000+00:00
259,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-02-15T14:46:54.478000+00:00
260,waysotheraccount ,@everyone spy 440 hit pt and mstr hit nicely, 2023-11-10T20:25:30.391000+00:00
261,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-11-02T13:57:28.474000+00:00
262,Optionsking Alert Bot ,Close, 2023-09-27T15:56:44.387000+00:00
263,Owen's Alerts ,Out $PARA calls to clarify ^, 2024-02-28T16:00:29.310000+00:00
264,waysotheraccount ,@everyone AI from 44 to 80 NICE 90 PERCENT LOCKED in most, 2023-07-19T14:12:08.494000+00:00
265,Sir Goldman Alerts ,SCALE, 2024-03-14T14:17:27.149000+00:00
266,KC Trades Bot ,all stops @ breakeven now, 2024-03-18T13:37:05.353000+00:00
